stream,site,SH2,FH2,log.SH2,log.FH2,SH2.TS,SH2.lnTS,SH2.TSloss,SH2.TSloss-d,SH2.Tsloss-DD,SH2.k,SH2.kDD,FH2.TS,FH2.lnTS,FH2.TSloss,FH2.TSloss-d,FH2.Tsloss-DD,FH2.k,FH2.kDD,dummy
Forsyth,Open,32.4,72.7,1.51054501,1.861534411,3.3061,1.195769247,55.57884483,1.852628161,0.316022317,-0.027048479,-0.004613944,7.4184,2.003963401,0.325489998,0.011223793,0.325489998,-0.000112421,-0.003260209,7
Forsyth,Open,33.2,68.5,1.521138084,1.835690571,3.3878,1.220180743,54.48111385,1.816037128,0.309780598,-0.026234762,-0.00447514,6.9898,1.944451944,6.08421088,0.209800375,6.08421088,-0.00216454,-0.062771666,7
Forsyth,Open,41.5,64.5,1.618048097,1.809559715,4.2347,1.443312487,43.10206412,1.436735471,0.245079116,-0.018797037,-0.003206409,6.5816,1.884277877,11.56883492,0.398925342,11.56883492,-0.004239508,-0.122945732,7
Forsyth,Open,38.2,63.7,1.582063363,1.804139432,3.898,1.360463601,47.62600561,1.58753352,0.270802329,-0.021558667,-0.003677489,6.5,1.871802177,12.66522228,0.436731803,12.66522228,-0.004669705,-0.135421432,7
Forsyth,Open,38.3,67.3,1.583198774,1.828015064,3.9082,1.36307691,47.48895719,1.58296524,0.270023069,-0.021471557,-0.00366263,6.8673,1.926771016,7.730135537,0.266556398,7.730135537,-0.002774227,-0.080452593,7
Forsyth,Open,52.4,72,1.719331287,1.857332496,5.3469,1.676516954,28.15841185,0.938613728,0.160109239,-0.011023555,-0.001880404,7.3469,1.994278456,1.286172553,0.044350778,1.286172553,-0.000446385,-0.012945154,7
Forsyth,Open,29.1,69.7,1.463892989,1.843232778,2.9694,1.088359912,60.10278632,2.003426211,0.34174553,-0.03062879,-0.005224676,7.1122,1.961811619,4.439629835,0.153090684,4.439629835,-0.001565931,-0.04541199,7
Forsyth,Closed,14.5,68.4,1.161368002,1.835056102,1.4796,0.391771781,80.11991737,2.670663912,0.49922062,-0.053848394,-0.010065748,6.9796,1.942991609,6.2212593,0.214526183,6.2212593,-0.002214897,-0.064232001,8
Forsyth,Closed,16.5,74.6,1.217483944,1.872738827,1.6837,0.520993753,77.37760535,2.579253512,0.4821335,-0.049540995,-0.009260576,7.6122,2.029752223,-2.278429989,0,-2.278429989,0.000776849,0.022528614,8
Forsyth,Closed,32.6,66.8,1.5132176,1.824776462,3.3265,1.2019207,55.30474799,1.8434916,0.344599339,-0.02684343,-0.005017776,6.8163,1.919316803,8.415377639,0.290185436,8.415377639,-0.003031269,-0.087906807,8
Forsyth,Closed,33.8,65.8,1.5289167,1.818225894,3.449,1.238084334,53.65882333,1.788627444,0.334343718,-0.025637976,-0.004792444,6.7143,1.90423958,9.785861843,0.337443512,9.785861843,-0.003551173,-0.102984029,8
Forsyth,Closed,38.1,65.4,1.580924976,1.815577748,3.8878,1.357843445,47.76305403,1.592101801,0.297607664,-0.021646005,-0.004046234,6.6735,1.89814446,10.33405552,0.356346742,10.33405552,-0.00376135,-0.109079149,8
Forsyth,Closed,35.2,66.4,1.546542663,1.822168079,3.5918,1.27865347,51.74014545,1.724671515,0.322388594,-0.024285671,-0.004539661,6.7755,1.913313165,8.963571321,0.309088666,8.963571321,-0.003238291,-0.093910444,8
Forsyth,Closed,13.7,69.3,1.136720567,1.840733235,1.398,0.335042644,81.21630473,2.707210158,0.50605212,-0.055739366,-0.010419222,7.0714,1.95605848,4.987823517,0.171993914,4.987823517,-0.001764315,-0.051165129,8
Forsyth,Closed,35.6,44.3,1.551449998,1.646403726,3.6327,1.289976173,51.19060815,1.706353605,0.318964472,-0.023908248,-0.00446911,4.5204,1.508600486,39.26336474,1.353909129,39.26336474,-0.017193901,-0.498623124,8
Forsyth,Closed,10.6,64.2,1.025305865,1.807535028,1.0816,0.078441426,85.46749299,2.848916433,0.532540925,-0.064292739,-0.012018083,6.551,1.87961771,11.97998018,0.413102765,11.97998018,-0.004400203,-0.127605899,8
Forsyth,Closed,38.5,62.9,1.58546073,1.798650645,3.9286,1.368283128,47.21486035,1.573828678,0.294191914,-0.021298016,-0.003981186,6.4184,1.859168865,13.76160965,0.474538264,13.76160965,-0.005105336,-0.148054744,8
Redrock,Open,63.5,64.1,1.802773725,1.80685803,6.4796,1.86865878,12.93931912,0.431310637,0.179962714,-0.004618828,-0.001927188,6.5408,1.878059482,12.1170286,0.417828572,12.1170286,-0.004453935,-0.129164127,9
Redrock,Open,63.4,65.1,1.802089258,1.813580989,6.4694,1.867083369,13.07636755,0.435878918,0.181868811,-0.004671341,-0.001949099,6.6429,1.893548615,10.74520079,0.370524165,10.74520079,-0.003919827,-0.113674994,9
Redrock,Open,66,58.6,1.819543936,1.767897616,6.7347,1.907273265,9.511765002,0.317058833,0.132291586,-0.003331678,-0.00139013,5.9796,1.788353676,19.65737895,0.677840653,19.65737895,-0.007547239,-0.218869933,9
Redrock,Open,64.3,67.6,1.808210973,1.829946696,6.5612,1.881173513,11.84293176,0.394764392,0.164713933,-0.00420167,-0.001753131,6.898,1.931231515,7.317646664,0.252332644,7.317646664,-0.002620417,-0.075992095,9
Redrock,Open,66.1,55.3,1.820201459,1.742725131,6.7449,1.908786664,9.374716582,0.312490553,0.130385488,-0.003281232,-0.001369081,5.6429,1.730398118,24.18132043,0.833838636,24.18132043,-0.009545707,-0.276825491,9
Redrock,Open,68.2,69.3,1.833784375,1.840733235,6.9592,1.940064525,6.495356141,0.216511871,0.09033875,-0.002238636,-0.000934062,7.0714,1.95605848,4.987823517,0.171993914,4.987823517,-0.001764315,-0.051165129,9
Redrock,Open,65.8,65.2,1.818225894,1.814247596,6.7143,1.90423958,9.785861843,0.326195395,0.136103781,-0.003432801,-0.001432323,6.6531,1.895082911,10.60815237,0.365798357,10.60815237,-0.003866921,-0.112140698,9
Redrock,Open,68.9,53.4,1.838219222,1.727541257,7.0306,1.950272051,5.536017198,0.184533907,0.076996067,-0.001898385,-0.000792094,5.449,1.695432106,26.78658403,0.923675312,26.78658403,-0.010751431,-0.311791504,9
Redrock,Open,71.3,60.8,1.85308953,1.783903579,7.2755,1.984512539,2.245511496,0.074850383,0.031231036,-0.000757036,-0.00031587,6.2041,1.825210364,16.64097009,0.573826555,16.64097009,-0.006276319,-0.182013245,9
Redrock,Open,69.3,66.9,1.840733235,1.825426118,7.0714,1.95605848,4.987823517,0.166260784,0.069371676,-0.001705504,-0.000711615,6.8265,1.920812097,8.278329219,0.285459628,8.278329219,-0.002979707,-0.086411512,9
Redrock,Closed,32.7,51,1.514547753,1.707570176,3.3367,1.204982295,55.16769957,1.838923319,0.37913339,-0.026741377,-0.005513307,5.2041,1.649446776,30.07708974,1.037141025,30.07708974,-0.012337132,-0.357776833,10
Redrock,Closed,35.7,44.9,1.552668216,1.652246341,3.6429,1.292780068,51.05355973,1.701785324,0.350859458,-0.023814785,-0.004909927,4.5816,1.522048282,38.44107422,1.325554283,38.44107422,-0.016730184,-0.485175327,10
Redrock,Closed,24.3,67.1,1.385606274,1.82672252,2.4796,0.908097257,66.68379772,2.222793257,0.458276391,-0.036637545,-0.007553614,6.8469,1.923795995,8.004232378,0.276008013,8.004232378,-0.002876814,-0.083427614,10
Redrock,Closed,39.7,70.1,1.598790507,1.845718018,4.051,1.398963764,45.5702793,1.51900931,0.313176272,-0.020275328,-0.004180193,7.1531,1.967545829,3.890092541,0.134141122,3.890092541,-0.001368199,-0.03967778,10
Redrock,Closed,44.7,52.8,1.650307523,1.722633923,4.5612,1.517585747,38.71517106,1.290505702,0.266065364,-0.016321262,-0.003364977,5.3878,1.684137138,27.60887456,0.952030157,27.60887456,-0.011140913,-0.323086471,10
Redrock,Closed,22,70.1,1.342422681,1.845718018,2.2449,0.808660977,69.837255,2.3279085,0.479948148,-0.039952088,-0.008236978,7.1531,1.967545829,3.890092541,0.134141122,3.890092541,-0.001368199,-0.03967778,10
Redrock,Closed,33.9,70,1.530199698,1.84509804,3.4592,1.241037348,53.52177491,1.784059164,0.36782197,-0.025539542,-0.005265523,7.1429,1.966118856,4.027140962,0.13886693,4.027140962,-0.001417405,-0.041104753,10
Redrock,Closed,39.3,35.2,1.59439255,1.546542663,4.0102,1.388841115,46.11847299,1.537282433,0.316943667,-0.02061275,-0.004249759,3.5918,1.27865347,51.74014545,1.784142946,51.74014545,-0.025123108,-0.72857014,10
Redrock,Closed,44.9,70.7,1.652246341,1.849419414,4.5816,1.522048282,38.44107422,1.281369141,0.264181666,-0.016172511,-0.003334309,7.2143,1.976065167,3.067802019,0.105786277,3.067802019,-0.001074429,-0.031158442,10
Redrock,Closed,41.2,61,1.614897216,1.785329835,4.2041,1.43606024,43.51320939,1.450440313,0.299039306,-0.019038779,-0.003925252,6.2245,1.828493118,16.36687325,0.56437494,16.36687325,-0.00616312,-0.178730491,10
